E_i	M_i	A(t)
-0.02	0.025	0
-0.7	0.11	0.5575
-0.9	0.21	0.43
-1.04	0.19	0.335
-1	0.215	0.3625
-1.02	0.225	0.345
-1.06	0.29	0.3675
-1.1	0.315	0.3325
-1.03	0.29	0.3125
-1.07	0.335	0.3075
-1.07	0.31	0.3275
-1.19	0.43	0.285
-1.19	0.48	0.32
-1.19	0.45	0.25
-1.24	0.445	0.2875
-1.18	0.465	0.3
-1.18	0.45	0.2575
-1.15	0.4	0.295
-1.01	0.4	0.31
-1.1	0.425	0.2875
-1.33	0.505	0.225
-1.25	0.53	0.2175
-1.16	0.495	0.2575
-1.23	0.545	0.33
-1.21	0.59	0.3025
-1.33	0.635	0.2575
-1.35	0.68	0.2275
-1.28	0.65	0.275
-1.4	0.72	0.22
-1.3	0.67	0.21
-1.24	0.635	0.2575
-1.3	0.685	0.27
-1.3	0.72	0.2275
-1.3	0.725	0.2425
-1.26	0.69	0.2625
-1.27	0.695	0.2425
-1.34	0.705	0.22
-1.26	0.72	0.2025
-1.39	0.75	0.205
-1.33	0.71	0.175
-1.33	0.715	0.1875
-1.49	0.775	0.235
-1.46	0.76	0.1975
-1.44	0.755	0.1875
-1.39	0.755	0.17
-1.39	0.71	0.1925
-1.32	0.695	0.2175
-1.25	0.645	0.205
-1.36	0.73	0.1925
-1.34	0.725	0.2275
-1.42	0.78	0.2225
-1.53	0.815	0.1925
-1.67	0.87	0.1525
-1.58	0.85	0.135
-1.54	0.825	0.1475
-1.52	0.815	0.15
-1.46	0.755	0.17
-1.35	0.655	0.19
-1.39	0.68	0.2225
-1.36	0.705	0.2025
-1.28	0.64	0.2825
-1.26	0.645	0.2525
-1.21	0.665	0.265
-1.31	0.645	0.255
-1.3	0.615	0.21
-1.22	0.53	0.2625
-1.18	0.54	0.285
-1.16	0.595	0.3125
-1.06	0.55	0.3325
-1.21	0.64	0.295
-1.12	0.555	0.2875
-1.2	0.535	0.34
-1.07	0.49	0.3025
-1.2	0.535	0.2625
-1.26	0.54	0.3125
-1.21	0.525	0.2575
-1.18	0.475	0.295
-1.17	0.505	0.31
-1.23	0.555	0.27
-1.28	0.55	0.2625
-1.12	0.525	0.2675
-1.12	0.505	0.32
-1.04	0.445	0.35
-1.16	0.45	0.3025
-1.13	0.505	0.3325
-1.19	0.44	0.3075
-1.21	0.475	0.3175
-1.23	0.515	0.26
-1.29	0.5	0.2625
-1.28	0.52	0.245
-1.21	0.45	0.285
-1.28	0.52	0.23
-1.21	0.455	0.2975
-1.26	0.405	0.28
-1.28	0.365	0.245
-1.25	0.4	0.2225
-1.02	0.395	0.3275
-1.08	0.395	0.315
-1.12	0.435	0.33
-1.11	0.405	0.305
-1.18	0.42	0.3075
-1.17	0.445	0.2675
-1.15	0.44	0.2775
-1.06	0.45	0.33
-1.23	0.515	0.3325
-1.1	0.425	0.285
-1.06	0.445	0.315
-1.11	0.395	0.355
-1.07	0.505	0.295
-1.19	0.54	0.2625
-1.23	0.535	0.2875
-1.29	0.555	0.3
-1.18	0.565	0.295
-1.1	0.5	0.2825
-1.2	0.525	0.3075
-1.1	0.515	0.31
-1.07	0.485	0.29
-1.04	0.44	0.3425
-1.13	0.365	0.3025
-1.21	0.4	0.2925
-1.08	0.45	0.29
-1.1	0.47	0.275
-1.24	0.47	0.255
-1.07	0.395	0.3025
-1.07	0.47	0.3275
-1.08	0.465	0.3625
-1.12	0.52	0.3325
-1.22	0.58	0.33
-1.19	0.485	0.3175
-1.12	0.435	0.275
-1.25	0.435	0.305
-1.25	0.365	0.295
-1.09	0.35	0.2425
-1.03	0.445	0.3125
-1.1	0.45	0.3775
-1.06	0.46	0.26
-1.26	0.505	0.2875
-1.3	0.52	0.2325
-1.26	0.525	0.2625
-1.32	0.54	0.2525
-1.23	0.57	0.245
-1.24	0.57	0.235
-1.26	0.575	0.2575
-1.28	0.61	0.2625
-1.3	0.6	0.205
-1.26	0.58	0.25
-1.22	0.585	0.2575
-1.41	0.615	0.215
-1.27	0.585	0.235
-1.13	0.6	0.2475
-1.33	0.615	0.2825
-1.25	0.565	0.25
-1.13	0.54	0.2675
-1.37	0.615	0.2675
-1.2	0.61	0.2325
-1.14	0.535	0.2975
-1.18	0.515	0.325
-1.15	0.545	0.315
-1.19	0.535	0.27
-1.18	0.625	0.29
-1.23	0.6	0.2725
-1.22	0.595	0.2325
-1.26	0.545	0.28
-1.13	0.565	0.27
-1.19	0.48	0.3325
-1.18	0.54	0.27
-1.15	0.535	0.2975
-1.21	0.59	0.3175
-1.15	0.565	0.2625
-1.09	0.52	0.3175
-1.19	0.48	0.31
-1.09	0.48	0.29
-1.14	0.415	0.3025
-1.21	0.365	0.325
-1.17	0.43	0.3475
-1.18	0.48	0.295
-1.09	0.51	0.305
-1.14	0.43	0.335
-1.11	0.5	0.32
-1.18	0.54	0.295
-1.18	0.6	0.3
-1.24	0.55	0.285
-1.23	0.555	0.2275
-1.23	0.54	0.2975
-1.2	0.655	0.3125
-1.27	0.635	0.26
-1.31	0.62	0.2225
-1.3	0.625	0.2725
-1.41	0.65	0.2275
-1.37	0.68	0.24
-1.32	0.705	0.2125
-1.46	0.74	0.2675
-1.49	0.775	0.1775
-1.4	0.785	0.15
-1.31	0.75	0.2075
-1.35	0.775	0.2275
-1.35	0.78	0.1675
-1.44	0.79	0.175
-1.46	0.77	0.215
-1.32	0.73	0.22
-1.3	0.765	0.2125
-1.37	0.73	0.2125
-1.32	0.74	0.23
-1.47	0.785	0.1775
-1.55	0.83	0.1975
-1.5	0.8	0.2
-1.45	0.805	0.1725
-1.53	0.825	0.19
-1.55	0.835	0.15
-1.44	0.78	0.2325
-1.42	0.76	0.185
-1.51	0.815	0.1675
-1.57	0.855	0.16
-1.53	0.84	0.1775
-1.44	0.795	0.1875
-1.37	0.78	0.1475
-1.49	0.795	0.1675
-1.42	0.77	0.1825
-1.52	0.825	0.1725
-1.38	0.78	0.1825
-1.37	0.79	0.23
-1.51	0.845	0.2025
-1.5	0.825	0.125
-1.53	0.85	0.1575
-1.57	0.85	0.115
-1.61	0.88	0.14
-1.53	0.84	0.13
-1.48	0.83	0.15
-1.42	0.805	0.1875
-1.39	0.785	0.215
-1.45	0.805	0.18
-1.45	0.82	0.1725
-1.5	0.82	0.145
-1.49	0.8	0.135
-1.46	0.805	0.1725
-1.47	0.805	0.18
-1.47	0.79	0.1875
-1.55	0.86	0.16
-1.57	0.86	0.175
-1.61	0.855	0.1325
-1.42	0.78	0.1775
-1.48	0.805	0.1925
-1.49	0.805	0.19
-1.42	0.79	0.1625
-1.55	0.845	0.1975
-1.52	0.855	0.155
-1.41	0.79	0.1675
-1.4	0.78	0.19
-1.26	0.745	0.1925
-1.39	0.745	0.22
-1.35	0.72	0.2175
-1.36	0.675	0.2275
-1.25	0.66	0.2125
-1.23	0.66	0.245
-1.1	0.565	0.2725
-1.2	0.59	0.2975
-1.19	0.64	0.27
-1.19	0.61	0.285
-1.23	0.61	0.305
-1.22	0.625	0.2825
-1.26	0.65	0.2425
-1.23	0.59	0.255
-1.22	0.54	0.265
-1.24	0.61	0.28
-1.26	0.625	0.2225
-1.36	0.635	0.255
-1.24	0.64	0.2475
-1.22	0.595	0.2475
-1.36	0.685	0.25
-1.34	0.635	0.275
-1.44	0.665	0.205
-1.31	0.64	0.2325
-1.33	0.61	0.215
-1.5	0.605	0.1825
-1.4	0.6	0.2125
-1.36	0.61	0.255
-1.32	0.62	0.195
-1.35	0.64	0.21
-1.37	0.635	0.2325
-1.3	0.63	0.2225
-1.28	0.64	0.23
-1.43	0.655	0.2175
-1.44	0.61	0.1825
-1.39	0.605	0.1975
-1.37	0.63	0.1725
-1.56	0.745	0.1875
-1.61	0.77	0.1425
-1.58	0.74	0.15
-1.4	0.67	0.19
-1.3	0.62	0.25
-1.22	0.635	0.2625
-1.3	0.665	0.23
-1.35	0.6	0.2225
-1.34	0.59	0.24
-1.32	0.6	0.225
-1.32	0.575	0.2575
-1.27	0.555	0.215
-1.25	0.58	0.2175
-1.41	0.645	0.2175
-1.26	0.645	0.23
-1.39	0.635	0.235
-1.27	0.625	0.225
-1.18	0.545	0.255
-1.19	0.555	0.315
-1.21	0.515	0.27
-1.22	0.475	0.26
-1.38	0.505	0.255
-1.33	0.47	0.2625
-1.21	0.485	0.2325
-1.12	0.43	0.3275
-0.98	0.445	0.2925
-1.08	0.435	0.36
-1.1	0.465	0.33
-1.18	0.485	0.345
-1.07	0.345	0.305
-1.01	0.365	0.34
-1.04	0.275	0.31
-1.07	0.335	0.355
-1.05	0.405	0.345
-1.01	0.395	0.355
-1.06	0.415	0.38
-1.05	0.405	0.31
-1.03	0.455	0.355
-1	0.35	0.3425
-1.14	0.4	0.355
-1.12	0.325	0.3075
-1.22	0.405	0.295
-1.31	0.46	0.2575
-1.26	0.39	0.28
-1.22	0.365	0.2625
-1.29	0.46	0.2725
-1.23	0.535	0.2775
-1.33	0.55	0.2575
-1.35	0.505	0.2275
-1.25	0.45	0.2925
-1.31	0.48	0.23
-1.27	0.475	0.2425
-1.28	0.525	0.265
-1.28	0.535	0.25
-1.29	0.55	0.2725
-1.27	0.47	0.255
-1.27	0.485	0.2475
-1.17	0.435	0.25
-1.13	0.435	0.325
-1.25	0.495	0.24
-1.25	0.46	0.2375
-1.31	0.505	0.2375
